country_code,year,unemployment_rate,internet_users,gdp_per_capita,tertiary_enrollment
UGA,2004,2.699,0.719970679914031,292.38185796262,3.65948009490967
UGA,2005,1.9,1.742200017,330.405402707025,
UGA,2006,2.264,2.52940011,346.518255310647,3.56147003173828
UGA,2007,2.667,3.67196535074744,401.389130865581,
UGA,2008,3.035,3.880000114,472.842681495852,3.80542993545532
UGA,2009,3.6,4.099999905,798.947089938247,4.19193983078003
UGA,2010,3.623,4.300000191,823.488144282,3.9166100025177
UGA,2011,3.523,4.599999905,835.620060555838,4.37658023834229
UGA,2012,3.551,4.800000191,795.222867553127,3.74987006187439
UGA,2013,1.91,5.099999905,818.285427416713,
UGA,2014,2.357,5.400000095,896.054795546394,4.61899995803833
UGA,2015,2.681,5.699999809,862.934610355811,
UGA,2016,3.002,5.9,752.696571725656,
UGA,2017,3.428,7.417900085,765.218332297361,
UGA,2018,3.249,9.326299667,792.16570022814,
UGA,2019,3.057,11.72579956,822.171150036357,
UGA,2020,3.819,7.4,845.766463890124,
UGA,2021,3.416,10.0,882.791717542504,
UGA,2022,2.885,9.636899948,963.067314117178,
UGA,2023,2.754,9.286999702,1002.30913917142,
UGA,2024,2.74,8.949831061,1077.91278438613,
UGA,2025,2.746,,1206.30450825002,
UKR,1971,,,,41.9827690124512
UKR,1976,,,,38.9148597717285
UKR,1981,,,,41.192008972168
UKR,1982,,,,42.131290435791
UKR,1983,,,,43.4685287475586
UKR,1984,,,,43.4779891967773
UKR,1985,,,,45.1448287963867
UKR,1986,,,,46.0389289855957
UKR,1987,,,1244.04125976563,
UKR,1988,,,1444.248046875,48.8078002929688
UKR,1989,,,1593.07861328125,45.8054618835449
UKR,1990,,0.0,1563.63415527344,46.6147499084473
UKR,1991,1.9,,1482.6396484375,45.6067581176758
UKR,1992,1.9,,1413.24011230469,45.6464614868164
UKR,1993,2.0,0.000777,1254.02868652344,43.9720497131348
UKR,1994,2.0,0.0136,1009.09405517578,41.6465492248535
UKR,1995,5.62,0.0431,933.191772460938,43.5848693847656
UKR,1996,7.65,0.0986,869.846069335938,43.0763893127441
UKR,1997,8.93,0.199,987.489807128906,
UKR,1998,11.32,0.301,831.336791992188,46.2560806274414
UKR,1999,11.864,0.405,631.910461425781,48.1569786071777
UKR,2000,11.707,0.716183762031043,653.294311523438,50.5071182250977
UKR,2001,11.061,1.23875954748114,800.49072265625,52.9101104736328
UKR,2002,10.136,1.87388511643427,903.011901855469,56.645679473877
UKR,2003,9.057,3.14812758815439,1076.48156738281,60.2553215026855
UKR,2004,8.59,3.4894778812677,1401.01806640625,63.4407501220703
UKR,2005,7.18,3.749799967,1875.33508300781,66.8898620605469
UKR,2006,6.81,4.50612456357379,2366.494140625,71.939811706543
UKR,2007,6.351,6.55,3160.32763671875,76.2627563476562
UKR,2008,6.363,11.0,4017.806640625,79.7325210571289
UKR,2009,8.84,17.9,2607.08764648438,82.4992523193359
UKR,2010,8.1,23.3,3039.63232421875,81.9082510858655
UKR,2011,7.851,28.7082628400713,3656.69799804688,84.7981059629784
UKR,2012,7.529,35.27,3951.34228515625,83.8798999891598
UKR,2013,7.17,40.954128997,4129.89697265625,81.5320112568844
UKR,2014,9.27,46.2359754571651,3054.908203125,83.7842174613245
UKR,2015,9.14,48.8846436813218,2094.47387695313,76.8646556476929
UKR,2016,9.35,53.0009695981884,2158.46118164063,77.0398374695438
UKR,2017,9.5,58.8894794459775,2604.28759765625,80.1990246943391
UKR,2018,8.799,62.5531553933869,3059.0517578125,81.4946716210446
UKR,2019,8.194,70.1248442995263,3619.86157226563,84.48135621115
UKR,2020,9.475,75.03790912,3709.76928710938,82.1345992180731
UKR,2021,9.834,79.21829353,4775.94580078125,75.9079435107907
UKR,2022,,80.47429657,4199.6708984375,
UKR,2023,,81.58059692,5139.59814453125,82.5533599853516
UKR,2024,,82.47489929,5391.62255859375,87.1920013427734
UKR,2025,,,5865.884765625,
URY,1960,,,491.031760304596,
URY,1961,,,603.966513233705,
URY,1962,,,659.393716891716,
URY,1963,,,586.821191669431,
URY,1964,,,744.654270146069,
URY,1965,,,705.202527526694,
URY,1966,,,668.17637665776,
